Burger Food Restaurants I B.V. ; Burger King Restaurant OOSTERHOF ; Watermanweg 333 ; 3067 GA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-102203294 ; 2016 ; 1.053188 ; 12 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant NIEUWENDIJK ; Nieuwendijk 216 -218 ; 1012 MX, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-206208038 ; 2016 ; 1.053188 ; 10 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant LEIDSEPLEIN ; Leidseplein 7 ; 1017 PR, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-206239832 ; 2016 ; 1.053188 ; 19 ; 2003 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant Schiedam ; 's-Gravelandseweg 414 ; 3125 BK, Schiedam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-102622917 ; 2016 ; 1.053188 ; 10 ; 2004 ; 
Burger Food Restaurants I B.V. ; Burger King Restaurant Westcorner ; Isolatorweg 25 ; 1014 AS, Amsterdam ; NOORD-HOLLAND ; Private Limited Company ; Branch ; +31-204885553 ; 2016 ; 1.053188 ; 10 ; 2004 ; 
NS Stations Retailbedrijf B.V. ; NS Stations Retailbedr.BV thodn Stationshuisk ; Stationsplein 18 B ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-886711200 ; 2016 ; 1.053188 ; 10 ; 2014 ; 
Hotel-Restaurant Kinderdijk B.V. ; Délifrance Rotterdam Alexandrium ; Poolsterstraat 119 ; 3067 LX, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-104207836 ; 2016 ; 1.053188 ; 15 ; 2014 ; 
DJH van Kleef en MJH van Kleef ; Bagels & Beans - Kruisplein ; None ; 3012 CL, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Branch ; None ; 2016 ; 1.053188 ; 10 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Julia's (station Rdam Cs) ; Stationsplein 9 B ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-886711200 ; 2016 ; 1.053188 ; 13 ; 2014 ; 
IJssalon Doppio ; None ; None ; 3061 WL, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Branch ; None ; 2016 ; 1.053188 ; 13 ; 2015 ; 
AllesKAN B.V. ; De ijswinckel Hoogvliet ; Binnenban 2 B ; 3191 CH, Hoogvliet Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 1.053188 ; 10 ; 2015 ; 
Tosti World Nederland B.V. ; Tosti World Erasmus ; Burgemeester Oudlaan 50 Gebouw L Era ; 3062 PA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-637139657 ; 2016 ; 1.053188 ; 10 ; 2018 ; 
Horeca Exploitatie Maatschappij J.G.B. de Kok Bergweg B.V. ; Horeca Mij. J.G.B. de Kok Bergweg B.V. h o K. ; Bergweg 234 ; 3035 BR, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104666488 ; 2018 ; 1.010555 ; 13 ; 1985 ; 
Bram Ladage Utrecht HC B.V. ; B.H. Herben h/o Bram Ladage Verse Patat ; Sonia Delaunaystraat 26 ; 3059 VN, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-642203875 ; 2018 ; 0.93282 ; 12 ; 2017 ; 
De IJssaloon B.V. ; None ; Meent 69 A ; 3011 JD, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-104133544 ; 2018 ; 0.925 ; 8 ; 2008 ; 
WOW Lijnbaan B.V. ; None ; Korte Lijnbaan 21 ; 3012 EC, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-681921966 ; 2019 ; 0.843 ; 14 ; 2018 ; 
R & A Winkelexploitatie B.V. ; None ; Apollostraat 20 ; 3054 TA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102023023 ; 2004 ; 2019 ; 0.77735 ; DEC ; 
Triamac B.V. ; McDonald's Satellite ; Coolsingel 207 ; 3012 AG, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102131665 ; 2019 ; 0.77735 ; 10 ; 2020 ; 
Riva's Churros & Sweets B.V. ; Riva's Churros & Sweets B.V. ; Lijnbaan 79 D ; 3012 EM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-653347677 ; enue ; 0.77735 ; 10 ; 2020 ; 
Eazie Coolsingel B.V. ; Eazie Korte Lijnbaan ; Korte Lijnbaan 18 B ; 3012 ED, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Independent ; +31-649773121 ; 2018 ; 0.704 ; 11 ; 2016 ; 
VL Markthal Rotterdam B.V. ; None ; Nieuwstraat 87 Unit Z.O.10. ; 3011 GX, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; None ; 2018 ; 0.699615 ; 9 ; 2016 ; 
Bram Ladage Nieuwegein B.V. ; B.H. Herben h/o Bram Ladage Verse Patat ; Binnenstede 2 ; 3431 LA, Nieuwegein ; UTRECHT ; Private Limited Company ; Subsidiary ; +31-642203875 ; 2018 ; 0.62188 ; 8 ; 2013 ; 
Tadim West B.V. ; Tadim West B.V. ; Witte Zwaanhof 7 ; 3035 ZH, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-628200608 ; 2015 ; 0.62188 ; 8 ; 2015 ; 
Rocomala B.V. ; Ron van Dijk Consultant ; Noordmolenstraat 50 C ; 3035 RL, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Parent ; +31-653349500 ; 2019 ; 0.544145 ; 7 ; 2015 ; 
P.P.P. VAN Esch tevens handeld onder de naam Boterham Express ; P.P.P. van Esch t.h.o.d.n. Boterham Express ; None ; 3083 BH, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 8 ; 2020 ; 
Johnnies Fastfood ; None ; None ; 3026 AN, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 4 ; 2019 ; 
Cafetaria van Putten ; Cafetaria van Putten ; None ; 3083 MZ, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 6 ; 2017 ; 
Italiaanse IJssalon "Venezia" ; None ; None ; 3012 JC, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2019 ; 
Snack en Broodjescorner De Binnenhof ; None ; None ; 3069 KV, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 1 ; 2019 ; 
V.O.F. Raymond & Lindsay van der Zalm ; Bram Ladage Verse Patat ; None ; 2801 KC, Gouda ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2017 ; 
Afhaalrestaurant Sun Sien ; Afhaalrestaurant Sun Sien Spijkenisse ; None ; 3193 EM, Hoogvliet Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Parent ; None ; 2016 ; 0.500159 ; 5 ; 2006 ; 
"Sangam" Sweets ; None ; None ; 3022 AA, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 3 ; 2016 ; 
Cafetaria "De Cocosnoot" ; Shoarma "De Cocosnoot" ; None ; 3012 BR, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 7 ; 1988 ; 
N. Stolk t.h.o.d.n. Bram Ladage Verse Patat ; None ; None ; 2511 BE, 's-Gravenhage ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 4 ; 2017 ; 
LiSun V.O.F. ; Cafetaria Eethuis De Gulle Jacob ; None ; 3067 LE, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2008 ; 
V.O.F. Baskent ; Cafetaria Baskent ; None ; 3073 JP, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Parent ; None ; 2016 ; 0.500159 ; 6 ; 2015 ; 
L.M. Ip t.h.o.d.n. Verhage Fast Food ; None ; None ; 3135 BK, Vlaardingen ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.500159 ; 3 ; 2020 ; 
Marhaba Ontbijt Lunch Diner ; La Cuisine ; None ; 3035 AK, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Parent ; None ; 2016 ; 0.500159 ; 6 ; 2018 ; 
Small Asia ; None ; None ; 3014 GD, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2013 ; 
V.o.f. Eethuis Marilas ; Eethuis Marilas ; None ; 3073 GC, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 8 ; 2014 ; 
A. Keskin en T. Keskin t.h.o.d.n. Has Donerkebap Zuidplein ; Has Donerkebap Zuidplein ; None ; 3083 BM, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 5 ; 2018 ; 
Paviljoen Malieveld ; None ; None ; 2594 AA, 's-Gravenhage ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.500159 ; 9 ; 2017 ; 
V.O.F. J.W. den Ouden & Zn. ; Cafetaria Jaap den Ouden ; None ; 3078 AV, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Branch ; None ; 2016 ; 0.500159 ; 7 ; 2005 ; 
Pannekoekhuis De Nachtegaal B.V. ; Pannenkoekhuis De Nachtegaal ; Prinses Beatrixlaan 11 ; 3062 CM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-104527361 ; 2016 ; 0.500159 ; 5 ; 2002 ; 
Donuts+Bagels B.V. ; None ; Coolsingel 130 ; 3011 AG, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-104155415 ; 2016 ; 0.500159 ; 7 ; 2005 ; 
Restaurant Fritschy ; Espressobar Lungo ; None ; 3013 AA, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Branch ; None ; 2016 ; 0.500159 ; 5 ; 2008 ; 
lunchcafé PortCity ; None ; None ; 3089 JH, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Branch ; None ; 2016 ; 0.500159 ; 5 ; 2012 ; 
Has Donerkebap Fastfood B.V. ; Has Doner Kebab Filiaal 3 ; Beijerlandselaan 46 B ; 3074 EK, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-653202284 ; 2016 ; 0.500159 ; 5 ; 2013 ; 
NS Stations Retailbedrijf B.V. ; Kiosk perr. 13-14 (Rdam C) ; Stationsplein 1 (Kiosk perr. ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 0.500159 ; 5 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Kiosk perron 11-12 (Rdam C) ; Stationsplein 1 Kiosk perr. ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 0.500159 ; 5 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Kiosk perron 8-9 (Rdam C) ; Stationsplein 1 Kiosk perr. ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 0.500159 ; 8 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Kiosk perron 6-7 (Rdam) ; Stationsplein 1 Kiosk perr. ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 0.500159 ; 5 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Kiosk tunnel (Rdam) ; Stationsplein 1 Kiosk tunnel ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 0.500159 ; 8 ; 2014 ; 
NS Stations Retailbedrijf B.V. ; Kiosk perron 3-4 (station Rotterdam) ; Stationsplein 1 Kiosk perr. ; 3013 AJ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; None ; 2016 ; 0.500159 ; 6 ; 2014 ; 
Warung Mini B.V. ; None ; Witte de Withstraat 47 B ; 3012 BM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-651279177 ; 2016 ; 0.500159 ; 8 ; 2014 ; 
YoYo! Concepts B.V. ; YoYo! Fresh Tea Bar ; Ds. Jan Scharpstraat 298 unit 88 ; 3011 GZ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-103030224 ; 2016 ; 0.500159 ; 7 ; 2015 ; 
YoYo! Concepts B.V. ; YoYo! Fresh tea Bar ; Kruisplein 28 ; 3012 CC, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-103030224 ; 2016 ; 0.500159 ; 7 ; 2015 ; 
Dung Snacks ; Cafetaria Smily ; None ; 3071 KE, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Branch ; None ; 2016 ; 0.500159 ; 6 ; 2016 ; 
Rocomala B.V. ; Rocomala B.V. ; Constantstraat 2 tegenover ; 3202 SV, Spijkenisse ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-653349500 ; 2016 ; 0.500159 ; 6 ; 2017 ; 
Bram Ladage Utrecht HC B.V. ; Bram Ladage Alphen aan den Rijn ; Pieter Doelmanstraat 21 ; 2406 AE, Alphen aan den Rijn ; ZUID-HOLLAND ; Private Limited Company ; Branch ; +31-642203875 ; 2016 ; 0.500159 ; 6 ; 2017 ; 
Bram Ladage Utrecht HC B.V. ; Bram's Gourmet Frites Leidsche Rijn Centrum ; Brusselplein 13 ; 3541 CH, Utrecht ; UTRECHT ; Private Limited Company ; Branch ; +31-642203875 ; 2016 ; 0.500159 ; 8 ; 2018 ; 
Amy's Yoghurt ; Amy's Yoghurt Deventer ; None ; 3011 GZ, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.47901 ; 3 ; 2015 ; 
Ronald Geeve B.V. ; None ; Regina Verweykade 26 ; 3059 SN, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-654696337 ; 2019 ; 0.46641 ; 6 ; 2019 ; 
Burger-Corner B.V. ; F.W. Nieuwveld Onroerend Goed ; Lokkertsemolenweg 318 ; 3194 WC, Hoogvliet Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; None ; 2003 ; 1992 ; 0.46641 ; DEC ; 
Cool 'n Cold ; None ; None ; 3067 GA, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Parent ; None ; 2016 ; 0.429312 ; 2 ; 2016 ; 
Deli Cafe Zuidplein B.V. ; None ; Zuiderterras 122 ; 3083 BZ, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-104804422 ; 2019 ; 0.388675 ; 5 ; 2019 ; 
MicMar LoBo B.V. ; Ritz Rotterdam ; Hoogstraat 143 ; 3011 PM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Parent ; +31-102234611 ; enue ; 0.388675 ; 5 ; 2020 ; 
Backyard Foodhallen B.V. ; Backyard Foodhallen B.V. ; Wilhelminakade 58 ; 3072 AR, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-108428263 ; 2017 ; 0.31094 ; 4 ; 2016 ; 
Apartt Rotterdam Horeca B.V. ; None ; Blaak 4 ; 3011 TA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-655143733 ; 2018 ; 0.31094 ; 4 ; 2019 ; 
Wok Express B.V. ; None ; Binnenwegplein 35 ; 3012 KA, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-611433868 ; 2017 ; 2012 ; 0.31094 ; DEC ; 
Brasserie Scheffers B.V. ; Brasserie Scheffers B.V. ; Peppelweg 56 A -58A ; 3053 GM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-640433157 ; 2018 ; 4 ; 4 ; 0.31094 ; 
Akalim B.V. ; Papa John's ; Nieuwe Binnenweg 254 B ; 3021 GP, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102371237 ; 2019 ; 2015 ; 0.31094 ; DEC ; 
Doner2go Beurs B.V. ; None ; Frederikstraat 57 ; 3034 LC, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; +31-102037930 ; 2017 ; 0.31094 ; 4 ; 2016 ; 
Switie B.V. ; None ; Witte de Withstraat 43 A ; 3012 BM, Rotterdam ; ZUID-HOLLAND ; Private Limited Company ; Subsidiary ; None ; enue ; 0.31094 ; 4 ; 2018 ; 
Q. Aftab ; Q. Aftab t.h.o.d.n. Chickenspot ; None ; 3067 GC, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.260125 ; 4 ; 2017 ; 
A. El Bouchetaoui h.o.d.n. Verhage ; None ; None ; 3223 DE, Hellevoetsluis ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.260125 ; 3 ; 2019 ; 
DJH van Kleef en MJH van Kleef ; Bagels & Beans - Kruisplein ; None ; 3011 PL, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Parent ; None ; 2016 ; 0.260125 ; 3 ; 2007 ; 
H.A. Blaauw Zelfbediening v.o.f. ; Lunchroom Blaauw ; None ; 3089 JH, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.260125 ; 4 ; 2019 ; 
Restaurant "Top Exotic" ; None ; None ; 3071 PS, Rotterdam ; ZUID-HOLLAND ; Collective Name Company ; Independent ; None ; 2016 ; 0.260125 ; 4 ; 1998 ; 
A.A.H. Toornvliet h/o "Bram Ladage Verse Patat" ; A.A.H. Toornvliet h/o Bram Ladage Verse Patat ; None ; 3078 AM, Rotterdam ; ZUID-HOLLAND ; Sole Proprietorship ; Independent ; None ; 2016 ; 0.260125 ; 4 ; 2018 ; 
